xenbase_gene_id,min,lowerq,sd,mean,median,upperq,max,total,n_zero
XB-GENE-1000552,153,164.25,86.17578933010516,228.66666666666666,195,288,356,1372,0
XB-GENE-1000567,82,95.5,36.79130332021414,120,110,137.25,181,720,0
XB-GENE-1000580,835,1075,552.6899371860019,1506.1666666666667,1492,1984.75,2133,9037,0
XB-GENE-1000594,13,17.5,5.366563145999495,21,22.5,25.25,26,126,0
XB-GENE-1000606,1,1,1.3291601358251257,1.8333333333333333,1,2.5,4,11,0
XB-GENE-1000619,23,25.25,18.457157599876172,39.666666666666664,35.5,47.25,71,238,0
XB-GENE-1000638,70,87.75,30.369392486515103,105.5,105.5,110.5,158,633,0
XB-GENE-1000678,478,564,263.02293943051177,725.6666666666666,690.5,739,1218,4354,0
XB-GENE-1000687,52,132,93.55354972777178,174.66666666666666,167,199,332,1048,0
XB-GENE-1000706,48,57.5,17.59166469287846,69.66666666666667,68,82.25,93,418,0
XB-GENE-1000765,379,474.5,175.66644528765303,582.5,534.5,704.75,831,3495,0
XB-GENE-1000779,6,7.5,7.061633427661525,12.666666666666666,11.5,14.75,25,76,0
XB-GENE-1000791,45,47.5,17.44706279005151,60,57,62.75,92,360,0
XB-GENE-1000815,44,51,12.303116136437414,59.833333333333336,59.5,70.25,74,359,0
XB-GENE-1000834,1,2.25,1.8618986725025255,3.3333333333333335,3,4.5,6,20,0
XB-GENE-1000845,118,140.5,69.62303258740363,184.83333333333334,161,215.25,302,1109,0
XB-GENE-1000854,11,15.75,11.788412389574207,25.166666666666668,26,34.75,38,151,0
XB-GENE-1000959,126,180.25,66.3887540677385,210.33333333333334,197,234,321,1262,0
XB-GENE-1000971,86,120.25,48.15565041266359,149.83333333333334,147,178.25,219,899,0
XB-GENE-1000983,948,1564.5,719.745510579955,1923,1896.5,2180.5,3068,11538,0
XB-GENE-1001017,12,19.25,10.457851914550456,24.166666666666668,20,31.25,39,145,0
XB-GENE-1001029,8,12.25,5.671566509057851,15.166666666666666,13.5,20,22,91,0
XB-GENE-1001039,38,46.75,22.915060549778175,62.5,58,73.75,99,375,0
XB-GENE-1001059,113,126.75,92.96881197476927,186,147,212.25,355,1116,0
XB-GENE-1001088,184,276,97.79366032621951,323,308,403,438,1938,0
XB-GENE-1001113,82,85,34.03772416990693,110.83333333333333,100,125.5,169,665,0
XB-GENE-1001131,7,14,12.785408349625234,21.666666666666668,21.5,23.75,44,130,0
XB-GENE-1001139,0,0,0.408248290463863,0.16666666666666666,0,0,1,1,5
XB-GENE-1001158,147,170,119.83391284050883,273.8333333333333,260.5,381.75,413,1643,0
XB-GENE-1001182,0,0.25,2.136976056643281,1.8333333333333333,1,3.25,5,11,2
XB-GENE-1001202,138,185,51.39649793517064,210,201,249.25,275,1260,0
XB-GENE-1001213,142,213.75,105.39765968306254,263.6666666666667,221,334,415,1582,0
XB-GENE-1001247,35,48.5,21.16286055018713,61.333333333333336,58,73.5,93,368,0
XB-GENE-1001321,127,146.25,89.58720146687621,212.33333333333334,184.5,265.5,352,1274,0
XB-GENE-1001347,2038,3365.5,1450.4251330788043,4153.333333333333,4259,4960.5,6102,24920,0
XB-GENE-1001378,0,0.25,1.1690451944500122,1.1666666666666667,1,1.75,3,7,2
XB-GENE-1001390,28,33.75,8.189424074174365,39.333333333333336,40,46.25,48,236,0
XB-GENE-1001398,186,244.75,112.93656036318207,311.6666666666667,279.5,366.75,496,1870,0
XB-GENE-1001421,38,51.75,24.17160869008653,67.66666666666667,67,77.75,106,406,0
XB-GENE-1001444,124,132.5,43.226920624382515,166.16666666666666,158.5,186,237,997,0
XB-GENE-1001458,20,27.25,15.76599716689898,37.833333333333336,37,43,64,227,0
XB-GENE-1001470,9,10.5,13.482086880993858,20.833333333333332,18,25.5,44,125,0
XB-GENE-1001488,314,473.5,269.69964775653676,626.5,570,730.25,1080,3759,0
XB-GENE-1001512,81,113.25,55.80322571321482,151,143.5,198.5,218,906,0
XB-GENE-1001521,10,10.25,2.3166067138525404,12.166666666666666,11.5,14.25,15,73,0
XB-GENE-1001532,55,68.5,41.292452902033645,100.33333333333333,98,121.5,163,602,0
XB-GENE-1001545,37,50.5,28.42123619173991,70.16666666666667,66.5,85.5,114,421,0
XB-GENE-1001590,114,186.75,75.36754385454435,217.33333333333334,199.5,262.5,325,1304,0
XB-GENE-1001617,89,111.5,36.70830968595531,130.5,115.5,158.5,180,783,0
XB-GENE-1001623,46,51.5,19.491023574969066,66.5,68,71,99,399,0
XB-GENE-1001652,0,0,0.8366600265340756,0.5,0,0.75,2,3,4
XB-GENE-1001661,2,9.25,9.481561052906848,14.5,14,18.75,29,87,0
XB-GENE-1001671,112,119.25,47.6588571691209,159.16666666666666,152,196,220,955,0
XB-GENE-1001705,52,63.25,33.72041913539431,85.66666666666667,80.5,93.25,146,514,0
XB-GENE-1001715,9,25,19.281251688276534,31.833333333333332,28,33.25,67,191,0
XB-GENE-1001725,270,387.75,143.43872094614713,465.3333333333333,465,523.5,687,2792,0
XB-GENE-1001737,255,323.75,91.38800067113114,385.8333333333333,399,461.5,481,2315,0
XB-GENE-1001748,154,194,95.19961484515926,261.8333333333333,241.5,337,387,1571,0
XB-GENE-1001759,23,30.25,10.342469079802301,36.833333333333336,37,43.75,50,221,0
XB-GENE-1001776,254,332,96.59330549611948,391.3333333333333,392.5,471.75,499,2348,0
XB-GENE-1001785,61,71.75,32.98130783742007,98.16666666666667,94,126.75,138,589,0
XB-GENE-1001796,9,23,35.01237876332693,43.333333333333336,33.5,51.5,107,260,0
XB-GENE-1001807,186,301,124.53018375745965,350.1666666666667,311.5,427,529,2101,0
XB-GENE-1001828,4,4.25,4.676180777800049,7.666666666666667,5.5,10.5,15,46,0
XB-GENE-1001848,46,57.5,13.221195104830729,66,70.5,74.5,80,396,0
XB-GENE-1001862,167,195.25,51.513105128695166,234,242,267.75,297,1404,0
XB-GENE-1001876,28,32.75,11.673331429659088,42.333333333333336,43.5,50.5,57,254,0
XB-GENE-1001922,35,43.25,22.604571808965254,56.833333333333336,47,69.5,93,341,0
XB-GENE-1001944,90,117.75,27.213354564747558,130.83333333333334,132,146.25,167,785,0
XB-GENE-1001971,656,1100.25,467.01134889850374,1312,1256,1550.5,2007,7872,0
XB-GENE-1001995,75,90.25,49.69909455915671,128,124,151,206,768,0
