xenbase_gene_id,min,lowerq,sd,mean,median,upperq,max,total,n_zero
XB-GENE-967901,318,388.5,294.2679051476732,650,665,871,1016,3900,0
XB-GENE-967911,491,660.25,416.52727001562175,978.8333333333334,1047,1117.25,1616,5873,0
XB-GENE-967940,67,84,43.50938596057943,121.33333333333333,133,149.75,172,728,0
XB-GENE-967958,24,32.75,20.98253241786288,49.333333333333336,51,61,79,296,0
XB-GENE-967968,15,21.75,8.717797887081348,27,28.5,30,40,162,0
XB-GENE-968191,197,257.25,116.48175822848829,327,319.5,348,532,1962,0
XB-GENE-968200,17,25.75,15.638627390748418,34.833333333333336,30.5,42.75,60,209,0
XB-GENE-968207,2614,2814.25,1176.3356097078192,3418.6666666666665,3035.5,3247,5769,20512,0
XB-GENE-968235,640,792.5,294.83012057793553,1032,1119,1264,1318,6192,0
XB-GENE-968257,176,238.75,123.94622489881112,315.6666666666667,298.5,355.25,528,1894,0
XB-GENE-968279,100,117,58.315235287758775,160.33333333333334,151.5,188.25,253,962,0
XB-GENE-968292,35,45.75,13.069047402163633,53,54.5,57.25,73,318,0
XB-GENE-968318,53,66.5,24.355697485393435,84,86,96.5,119,504,0
XB-GENE-968327,52,69,66.2925335162264,118.5,102.5,155.5,223,711,0
XB-GENE-968354,69,84.75,38.277930978567795,111,103,131.75,171,666,0
